source_ip,city,region,country,asn,org,infra_type,asname,is_proxy,is_hosting,is_mobile,gn_noise,gn_riot,gn_classification,gn_name
102.212.90.135,Johannesburg,Gauteng,ZA,AS329225,Lexistar Alliance Ltd.,datacenter/hosting,LAL1-AS,True,False,False,,,,
103.130.61.61,Jakarta,Jakarta,ID,AS138079,PT. Fiqran Solusindo Mediatama,datacenter/hosting,FASTAMA-AS-ID,True,False,False,True,False,unknown,unknown
103.193.144.223,Batam,Riau,ID,AS58821,PT Lintas Jaringan Nusantara,datacenter/hosting,IDNIC-LJN-AS-ID,True,False,False,,,,
103.75.229.175,Brussels,Brussels Capital,BE,AS203020,HostRoyale Technologies Pvt Ltd,datacenter/hosting,HostRoyale,True,True,False,,,,
104.224.90.91,Los Angeles,California,US,AS21769,Colocation America Corporation,datacenter VPS,AS-COLOAM,False,True,False,,,,
104.238.9.59,Amsterdam,North Holland,NL,AS202044,"Getechbrothers, MB",datacenter/hosting,Getechbrothers-Internet,True,True,False,,,,
104.239.35.21,Montréal,Quebec,CA,AS9009,M247 Europe SRL,datacenter/hosting,M247,True,True,False,,,,
104.239.90.56,Figino,Lombardy,IT,AS9009,M247 Europe SRL,datacenter/hosting,M247,True,True,False,,,,
104.239.91.68,Figino,Lombardy,IT,AS9009,M247 Europe SRL,datacenter/hosting,M247,True,True,False,,,,
104.252.196.182,Marseille,Provence-Alpes-Côte d'Azur,FR,AS59711,HZ Hosting Ltd,datacenter VPS,HZ-EU-AS,True,True,False,,,,
104.253.219.28,Marseille,Provence-Alpes-Côte d'Azur,FR,AS59711,HZ Hosting Ltd,datacenter VPS,HZ-EU-AS,True,True,False,,,,
104.28.196.55,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,True,False,unknown,unknown
104.28.196.56,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,True,False,unknown,unknown
104.28.228.56,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,True,False,unknown,unknown
104.28.228.57,Strasbourg,Grand Est,FR,AS13335,"Cloudflare, Inc.",datacenter/hosting,CLOUDFLARENET,True,False,False,True,False,unknown,unknown
105.47.246.148,Cairo,Cairo,EG,AS37069,The Egyptian Company for Mobile Services (Mobinil),residential/mobile,MOBINIL,False,False,True,,,,
107.181.148.28,London,England,GB,AS64080,SYN LTD,datacenter/hosting,SYN-UK,True,True,False,,,,
